id,code,role,first_name,last_name,full_name,gender,birth_date,age,phone,telegram,school,grade,district,group_id,group_name,course_code,mentor_id,tutor_id,curator_id,parent_full_name,parent_relation,parent_phone,parent_telegram,parent_preferred_contact,enrolled_at,monthly_fee,status,attendance_total_lessons,attendance_present,attendance_late,attendance_absent,attendance_absent_excused,attendance_absent_unexcused,attendance_attendance_rate,attendance_punctuality_rate,attendance_missed_covered_by_makeup,attendance_missed_not_covered,attendance_is_behind,homework_assigned,homework_submitted,homework_on_time,homework_late,homework_not_submitted,homework_submission_rate,homework_on_time_rate,homework_avg_score,homework_best_score,coins_balance,coins_total_earned,coins_total_spent,coins_rank_overall,coins_rank_in_group,tutor_sessions_count,makeup_count,performance_score,performance_label,risk_level
14,STU-10014,student,Nilufar,Ismoilova,Nilufar Ismoilova,female,2014-06-14,12,+998917847957,@nilufar_1761,110-son maktab,6,Yakkasaroy,2,FE-BAS-002,FE-BAS,2,103,203,Shahzoda Ismoilovaa,Ona,+998914412616,@shahzoda132,sms,2026-02-02,650000,active,75,53,11,11,4,7,85.3,70.7,5,6,True,63,50,30,20,13,79.4,47.6,62.3,91,830,1365,535,134,4,6,5,75.5,Yaxshi,low
15,STU-10015,student,Husan,Ergashev,Husan Ergashev,male,2013-07-23,13,+998987947110,@husan_6923,1-son maktab,7,Olmazor,2,FE-BAS-002,FE-BAS,2,103,203,Nargiza Ergasheva,Ona,+998978010282,@nargiza152,telegram,2026-02-02,650000,active,75,60,9,6,3,3,92.0,80.0,4,2,False,66,54,44,10,12,81.8,66.7,68.9,85,690,1620,935,170,6,6,4,80.9,Yaxshi,low
16,STU-10016,student,Mohira,Ashurova,Mohira Ashurova,female,2013-01-14,13,+998933180620,@mohira_343,7-son maktab,7,Mirobod,2,FE-BAS-002,FE-BAS,2,103,203,Amirbek Ashurova,Ota,+998917815201,@amirbek691,telegram,2026-02-02,650000,active,75,55,6,14,8,6,81.3,73.3,10,4,True,64,56,34,22,8,87.5,53.1,63.1,86,1068,1548,480,93,2,6,10,76.8,Yaxshi,medium
17,STU-10017,student,Behruz,Ergashev,Behruz Ergashev,male,2010-10-12,16,+998917438000,@behruz_8136,45-son maktab,10,Shayxontohur,2,FE-BAS-002,FE-BAS,2,103,203,Ulug'bek Ergashev,Ota,+998973714800,@ulugbek633,phone,2026-02-02,650000,active,75,50,4,21,10,11,72.0,66.7,5,16,True,58,39,14,25,19,67.2,24.1,47.8,93,742,1097,355,158,5,9,5,62.1,Qoniqarli,medium
18,STU-10018,student,Nilufar,Egamberdiyeva,Nilufar Egamberdiyeva,female,2010-01-20,16,+998934659729,@nilufar_783,110-son maktab,10,Mirobod,3,FE-JS-003,FE-JS,2,112,204,Zilola Egamberdiyevaa,Ona,+998947786124,@zilola729,phone,2026-02-09,800000,active,73,43,7,23,8,15,68.5,58.9,6,17,True,52,30,13,17,22,57.7,25.0,52.3,69,775,850,75,149,6,9,6,59.6,Past,high
19,STU-10019,student,Sherzod,Qodirov,Sherzod Qodirov,male,2011-04-24,15,+998978047636,@sherzod_5149,52-son maktab,9,Sergeli,3,FE-JS-003,FE-JS,2,112,204,Sardor Qodirov,Ota,+998982975198,@sardor499,sms,2026-02-09,800000,active,73,55,3,15,8,7,79.5,75.3,5,10,True,62,47,32,15,15,75.8,51.6,65.5,93,233,1348,1115,290,10,6,5,73.5,Qoniqarli,medium
20,STU-10020,student,Akmal,Shodmonov,Akmal Shodmonov,male,2008-08-06,18,+998887716630,@akmal_1854,12-son maktab,11,Mirzo Ulug'bek,3,FE-JS-003,FE-JS,2,112,204,Bekzod Shodmonov,Ota,+998884946855,@bekzod557,sms,2026-02-09,800000,active,73,51,6,16,7,9,78.1,69.9,7,9,True,59,32,11,21,27,54.2,18.6,48.2,78,504,929,425,221,8,10,7,60.5,Qoniqarli,medium
21,STU-10021,student,Akmal,Ergashev,Akmal Ergashev,male,2009-09-17,17,+998337339482,@akmal_2331,1-son maktab,11,Yunusobod,3,FE-JS-003,FE-JS,2,112,204,Sardor Ergashev,Ota,+998916263446,@sardor896,telegram,2026-02-09,800000,active,73,69,2,2,1,1,97.3,94.5,2,0,False,67,65,64,1,2,97.0,95.5,91.6,100,1698,2903,1205,21,1,0,2,95.2,A'lo,low
22,STU-10022,student,Aziza,Qodirova,Aziza Qodirova,female,2011-03-16,15,+998973663675,@aziza_5405,64-son maktab,9,Uchtepa,3,FE-JS-003,FE-JS,2,112,204,Nafisa Qodirovaa,Ona,+998942099179,@nafisa953,telegram,2026-02-09,800000,active,73,55,7,11,5,6,84.9,75.3,8,3,False,61,51,32,19,10,83.6,52.5,63.8,93,1459,1489,30,40,3,4,8,77.1,Yaxshi,medium
23,STU-10023,student,Nurbek,Egamberdiyev,Nurbek Egamberdiyev,male,2011-10-09,15,+998976499979,@nurbek_6274,33-son maktab,9,Shayxontohur,3,FE-JS-003,FE-JS,2,112,204,Xurshid Egamberdiyev,Ota,+998904337695,@xurshid286,sms,2026-02-09,800000,active,73,61,6,6,1,5,91.8,83.6,6,0,False,63,56,50,6,7,88.9,79.4,80.4,96,1519,1924,405,35,2,2,6,86.9,Yaxshi,low
24,STU-10024,student,Xasan,Abdullayev,Xasan Abdullayev,male,2010-08-18,16,+998986550387,@xasan_1433,153-son maktab,10,Yashnobod,3,FE-JS-003,FE-JS,2,112,204,Muhammadali Abdullayev,Ota,+998985441837,@muhammadali484,telegram,2026-02-09,800000,active,73,52,14,7,4,3,90.4,71.2,4,3,False,65,53,38,15,12,81.5,58.5,67.8,83,938,1373,435,112,5,2,4,79.8,Yaxshi,low
25,STU-10025,student,Aziz,Norqulov,Aziz Norqulov,male,2008-05-10,18,+998998007624,@aziz_8499,101-son maktab,11,Chilonzor,3,FE-JS-003,FE-JS,2,112,204,Aziza Norqulova,Ona,+998904718460,@aziza252,telegram,2026-02-09,800000,active,73,54,9,10,5,5,86.3,74.0,6,4,True,63,54,34,20,9,85.7,54.0,61.8,81,335,1390,1055,265,9,6,6,77.5,Yaxshi,low
26,STU-10026,student,Firdavs,Yusupov,Firdavs Yusupov,male,2012-01-01,14,+998973243561,@firdavs_3445,101-son maktab,8,Bektemir,3,FE-JS-003,FE-JS,2,112,204,Nozima Yusupova,Ona,+998336992008,@nozima646,phone,2026-02-09,800000,active,73,68,3,2,2,0,97.3,93.2,2,0,False,67,63,54,9,4,94.0,80.6,78.2,94,1376,2076,700,53,4,3,2,89.6,A'lo,low
27,STU-10027,student,Shahzoda,Sultonova,Shahzoda Sultonova,female,2012-04-23,14,+998971192871,@shahzoda_1019,233-son maktab,8,Olmazor,3,FE-JS-003,FE-JS,2,112,204,Umar Sultonova,Ota,+998913427522,@umar992,telegram,2026-02-09,800000,active,73,65,3,5,2,3,93.2,89.0,2,3,False,64,62,57,5,2,96.9,89.1,79.4,97,682,2097,1415,172,7,1,2,89.5,A'lo,low
28,STU-10028,student,Xasan,Yo'ldoshev,Xasan Yo'ldoshev,male,2011-03-01,15,+998911207200,@xasan_9126,45-son maktab,9,Mirzo Ulug'bek,4,FE-JS-004,FE-JS,3,101,208,Aziz Yo'ldoshev,Ota,+998994114822,@aziz343,phone,2026-02-02,800000,active,75,69,3,3,0,3,96.0,92.0,2,1,False,66,65,60,5,1,98.5,90.9,89.1,100,237,2542,2305,289,15,2,2,94.3,A'lo,low
29,STU-10029,student,Xasan,Hamidov,Xasan Hamidov,male,2008-03-17,18,+998998805860,@xasan_1418,153-son maktab,11,Mirzo Ulug'bek,4,FE-JS-004,FE-JS,3,101,208,Zilola Hamidova,Ona,+998909018255,@zilola832,telegram,2026-02-02,800000,active,75,65,5,5,2,3,93.3,86.7,4,1,False,66,62,54,8,4,93.9,81.8,79.2,94,382,1987,1605,258,14,2,4,88.5,A'lo,low
30,STU-10030,student,Shohruh,Tursunov,Shohruh Tursunov,male,2011-11-02,15,+998335450932,@shohruh_4943,45-son maktab,9,Yunusobod,4,FE-JS-004,FE-JS,3,101,208,Ravshan Tursunov,Ota,+998905462533,@ravshan751,sms,2026-02-02,800000,active,75,57,6,12,5,7,84.0,76.0,7,5,True,62,47,29,18,15,75.8,46.8,64.2,86,618,1353,735,185,8,3,7,74.6,Qoniqarli,medium
31,STU-10031,student,Malika,Xolmatova,Malika Xolmatova,female,2010-04-27,16,+998338876784,@malika_7835,201-son maktab,10,Chilonzor,4,FE-JS-004,FE-JS,3,101,208,Temur Xolmatova,Ota,+998947521424,@temur436,phone,2026-02-02,800000,active,75,62,5,8,3,5,89.3,82.7,5,3,False,65,63,55,8,2,96.9,84.6,79.5,100,1188,1913,725,76,3,2,5,88.1,A'lo,low
32,STU-10032,student,Nargiza,Jo'rayeva,Nargiza Jo'rayeva,female,2008-05-26,18,+998913714742,@nargiza_5750,24-son maktab,11,Chilonzor,4,FE-JS-004,FE-JS,3,101,208,Behruz Jo'rayeva,Ota,+998773878065,@behruz248,telegram,2026-02-02,800000,active,75,68,3,4,3,1,94.7,90.7,3,1,False,69,69,66,3,0,100.0,95.7,90.4,100,2223,2678,455,7,1,1,3,94.8,A'lo,low
33,STU-10033,student,Alisher,Yusupov,Alisher Yusupov,male,2012-12-02,14,+998944408466,@alisher_1934,7-son maktab,8,Chilonzor,4,FE-JS-004,FE-JS,3,101,208,Akmal Yusupov,Ota,+998332106430,@akmal988,sms,2026-02-02,800000,active,75,73,1,1,1,0,98.7,97.3,1,0,False,69,68,64,4,1,98.6,92.8,90.4,100,866,2866,2000,130,7,0,1,95.8,A'lo,low
34,STU-10034,student,Nafisa,Ergasheva,Nafisa Ergasheva,female,2010-08-04,16,+998985306749,@nafisa_4730,7-son maktab,10,Olmazor,4,FE-JS-004,FE-JS,3,101,208,Shohruh Ergasheva,Ota,+998976354261,@shohruh444,sms,2026-02-02,800000,active,75,72,2,1,0,1,98.7,96.0,0,1,False,68,62,50,12,6,91.2,73.5,77.5,100,492,2177,1685,226,10,2,0,89.0,A'lo,low
35,STU-10035,student,Laylo,Egamberdiyeva,Laylo Egamberdiyeva,female,2010-10-24,16,+998904633513,@laylo_1589,77-son maktab,10,Mirzo Ulug'bek,4,FE-JS-004,FE-JS,3,101,208,Asadbek Egamberdiyeva,Ota,+998999701039,@asadbek891,telegram,2026-02-02,800000,active,75,62,6,7,6,1,90.7,82.7,6,1,False,68,62,49,13,6,91.2,72.1,78.0,97,899,1884,985,123,5,3,6,86.4,Yaxshi,low
36,STU-10036,student,Xasan,Umarov,Xasan Umarov,male,2010-01-01,16,+998335371724,@xasan_9570,33-son maktab,10,Shayxontohur,4,FE-JS-004,FE-JS,3,101,208,Zarina Umarova,Ona,+998884095718,@zarina606,telegram,2026-02-02,800000,active,75,25,10,40,22,18,46.7,33.3,11,29,True,52,14,7,7,38,26.9,13.5,36.1,58,415,500,90,247,11,11,11,37.0,Past,high
37,STU-10037,student,Munisa,Jo'rayeva,Munisa Jo'rayeva,female,2009-03-04,17,+998918082166,@munisa_512,101-son maktab,11,Yashnobod,4,FE-JS-004,FE-JS,3,101,208,Elyor Jo'rayeva,Ota,+998986966264,@elyor197,sms,2026-02-02,800000,active,75,45,10,20,6,14,73.3,60.0,5,15,True,55,36,13,23,19,65.5,23.6,47.6,75,508,878,370,219,9,6,5,62.0,Qoniqarli,medium
38,STU-10038,student,Amirbek,Xolmatov,Amirbek Xolmatov,male,2009-11-08,17,+998886424642,@amirbek_2877,153-son maktab,11,Uchtepa,4,FE-JS-004,FE-JS,3,101,208,Gulnora Xolmatova,Ona,+998986480448,@gulnora634,phone,2026-02-02,800000,active,75,41,12,22,9,13,70.7,54.7,12,10,True,58,31,17,14,27,53.4,29.3,48.5,76,402,917,515,248,12,6,12,57.7,Past,medium
39,STU-10039,student,Kamola,Jo'rayeva,Kamola Jo'rayeva,female,2011-06-15,15,+998946478810,@kamola_9977,201-son maktab,9,Olmazor,4,FE-JS-004,FE-JS,3,101,208,Nurbek Jo'rayeva,Ota,+998976058459,@nurbek872,phone,2026-02-02,800000,active,75,56,5,14,6,8,81.3,74.7,7,7,True,61,49,29,20,12,80.3,47.5,64.3,86,394,1324,930,252,13,6,7,75.0,Yaxshi,medium
40,STU-10040,student,Xurshid,Umarov,Xurshid Umarov,male,2010-12-04,16,+998995593946,@xurshid_3314,18-son maktab,10,Yakkasaroy,4,FE-JS-004,FE-JS,3,101,208,Shohruh Umarov,Ota,+998993532690,@shohruh251,telegram,2026-02-02,800000,active,75,60,9,6,2,4,92.0,80.0,2,4,True,67,55,33,22,12,82.1,49.3,65.5,99,895,1515,620,125,6,3,2,79.8,Yaxshi,low
41,STU-10041,student,Kamola,Ismoilova,Kamola Ismoilova,female,2009-08-02,17,+998935315327,@kamola_9991,110-son maktab,11,Chilonzor,4,FE-JS-004,FE-JS,3,101,208,Behruz Ismoilova,Ota,+998949396771,@behruz747,telegram,2026-02-02,800000,active,75,59,8,8,6,2,89.3,78.7,7,1,False,67,55,43,12,12,82.1,64.2,65.7,88,1365,1655,290,56,2,4,7,78.9,Yaxshi,low
42,STU-10042,student,Dilfuza,Qurbonova,Dilfuza Qurbonova,female,2008-10-24,18,+998888256629,@dilfuza_5228,64-son maktab,11,Yakkasaroy,4,FE-JS-004,FE-JS,3,101,208,Dilfuza Qurbonovaa,Ona,+998774835374,@dilfuza795,phone,2026-02-02,800000,active,75,50,11,14,7,7,81.3,66.7,7,7,True,62,46,25,21,16,74.2,40.3,62.7,84,1066,1181,115,94,4,4,7,72.7,Qoniqarli,medium
43,STU-10043,student,Sevara,Ashurova,Sevara Ashurova,female,2011-05-28,15,+998981178377,@sevara_6468,178-son maktab,9,Yunusobod,5,FE-JS-005,FE-JS,7,112,207,Zarina Ashurovaa,Ona,+998907867663,@zarina630,phone,2026-02-02,800000,active,75,44,9,22,9,13,70.7,58.7,5,17,True,56,31,13,18,25,55.4,23.2,51.1,74,826,891,65,136,6,7,5,59.2,Past,medium
44,STU-10044,student,Husan,Ismoilov,Husan Ismoilov,male,2011-12-26,15,+998331270221,@husan_6160,201-son maktab,9,Olmazor,5,FE-JS-005,FE-JS,7,112,207,Xasan Ismoilov,Ota,+998918663575,@xasan654,phone,2026-02-02,800000,active,75,58,5,12,6,6,84.0,77.3,9,3,False,63,52,39,13,11,82.5,61.9,68.0,93,1284,1594,310,66,4,4,9,77.9,Yaxshi,medium
45,STU-10045,student,Abror,Ismoilov,Abror Ismoilov,male,2011-07-17,15,+998918022648,@abror_6990,101-son maktab,9,Bektemir,5,FE-JS-005,FE-JS,7,112,207,Sherzod Ismoilov,Ota,+998975602950,@sherzod491,sms,2026-02-02,800000,active,75,70,3,2,1,1,97.3,93.3,2,0,False,68,68,64,4,0,100.0,94.1,90.1,100,1787,2942,1155,18,2,2,2,95.6,A'lo,low
46,STU-10046,student,Firdavs,Saidov,Firdavs Saidov,male,2009-09-08,17,+998948871175,@firdavs_9308,52-son maktab,11,Mirzo Ulug'bek,5,FE-JS-005,FE-JS,7,112,207,Gulbahor Saidova,Ona,+998933169280,@gulbahor895,telegram,2026-02-02,800000,active,75,47,7,21,15,6,72.0,62.7,7,14,True,63,33,16,17,30,52.4,25.4,48.2,87,265,945,680,284,8,4,7,57.8,Past,medium
47,STU-10047,student,Asadbek,Tolipov,Asadbek Tolipov,male,2010-09-21,16,+998994118712,@asadbek_7990,1-son maktab,10,Shayxontohur,5,FE-JS-005,FE-JS,7,112,207,Sarvar Tolipov,Ota,+998945486638,@sarvar821,sms,2026-02-02,800000,active,75,54,6,15,6,9,80.0,72.0,3,12,True,60,48,31,17,12,80.0,51.7,66.8,94,1300,1345,45,65,3,5,3,75.4,Yaxshi,medium
48,STU-10048,student,Bobur,Nematov,Bobur Nematov,male,2009-08-14,17,+998983355549,@bobur_8794,101-son maktab,11,Yakkasaroy,5,FE-JS-005,FE-JS,7,112,207,Akmal Nematov,Ota,+998977461085,@akmal158,telegram,2026-02-02,800000,active,75,48,8,19,6,13,74.7,64.0,8,11,True,57,23,10,13,34,40.4,17.5,51.3,72,252,867,615,285,9,7,8,56.2,Past,high
49,STU-10049,student,Bekzod,Ismoilov,Bekzod Ismoilov,male,2012-11-10,14,+998886812367,@bekzod_2601,45-son maktab,8,Sergeli,5,FE-JS-005,FE-JS,7,112,207,Robiya Ismoilova,Ona,+998773394654,@robiya974,phone,2026-02-02,800000,active,75,60,7,8,1,7,89.3,80.0,7,1,False,62,54,50,4,8,87.1,80.6,80.8,100,1830,1945,115,16,1,2,7,85.7,Yaxshi,low
50,STU-10050,student,Shahzoda,Ergasheva,Shahzoda Ergasheva,female,2008-11-27,18,+998912986801,@shahzoda_4433,124-son maktab,11,Yashnobod,5,FE-JS-005,FE-JS,7,112,207,Madina Ergashevaa,Ona,+998949905270,@madina180,sms,2026-02-02,800000,active,75,55,8,12,5,7,84.0,73.3,9,3,False,62,48,36,12,14,77.4,58.1,69.0,91,708,1443,735,168,7,5,9,76.8,Yaxshi,medium
51,STU-10051,student,Zarina,Yo'ldosheva,Zarina Yo'ldosheva,female,2008-01-16,18,+998988851072,@zarina_9317,178-son maktab,11,Yakkasaroy,5,FE-JS-005,FE-JS,7,112,207,Gulnora Yo'ldoshevaa,Ona,+998949358000,@gulnora268,telegram,2026-02-02,800000,active,75,62,8,5,0,5,93.3,82.7,5,0,False,65,62,53,9,3,95.4,81.5,78.9,94,1111,1886,775,86,5,2,5,88.9,A'lo,low
52,STU-10052,student,Ozoda,Qurbonova,Ozoda Qurbonova,female,2008-11-03,18,+998919566875,@ozoda_8032,178-son maktab,11,Mirzo Ulug'bek,6,FE-RCT-006,FE-RCT,13,111,207,Akmal Qurbonova,Ota,+998901769575,@akmal798,telegram,2026-02-09,950000,active,72,42,13,17,7,10,76.4,58.3,7,10,True,57,31,12,19,26,54.4,21.1,51.2,87,607,987,380,189,10,4,7,61.0,Qoniqarli,medium
53,STU-10053,student,Asadbek,Sultonov,Asadbek Sultonov,male,2009-02-28,17,+998971884499,@asadbek_4837,77-son maktab,11,Olmazor,6,FE-RCT-006,FE-RCT,13,111,207,Feruza Sultonova,Ona,+998334535383,@feruza390,sms,2026-02-09,950000,active,72,63,5,4,1,3,94.4,87.5,4,0,False,63,59,55,4,4,93.7,87.3,78.9,94,1396,1991,595,50,5,2,4,88.8,A'lo,low
54,STU-10054,student,Mohira,Ochilova,Mohira Ochilova,female,2009-09-12,17,+998911671945,@mohira_6635,233-son maktab,11,Sergeli,6,FE-RCT-006,FE-RCT,13,111,207,Elyor Ochilova,Ota,+998984226405,@elyor424,telegram,2026-02-09,950000,active,72,69,1,2,1,1,97.2,95.8,2,0,False,65,62,60,2,3,95.4,92.3,90.1,100,2367,2492,125,4,2,0,2,94.2,A'lo,low
55,STU-10055,student,Aziz,Ashurov,Aziz Ashurov,male,2009-02-01,17,+998772392562,@aziz_3581,7-son maktab,11,Yakkasaroy,6,FE-RCT-006,FE-RCT,13,111,207,Rustam Ashurov,Ota,+998772009128,@rustam907,sms,2026-02-09,950000,active,72,56,6,10,5,5,86.1,77.8,4,6,True,61,53,34,19,8,86.9,55.7,66.9,93,909,1434,525,122,7,6,4,79.6,Yaxshi,low
56,STU-10056,student,Odina,Sobirova,Odina Sobirova,female,2011-11-06,15,+998335328567,@odina_5048,33-son maktab,9,Sergeli,6,FE-RCT-006,FE-RCT,13,111,207,Asadbek Sobirova,Ota,+998907188600,@asadbek992,phone,2026-02-09,950000,active,72,39,11,22,11,11,69.4,54.2,8,14,True,56,32,9,23,24,57.1,16.1,49.0,75,813,868,55,141,8,7,8,58.6,Past,high
57,STU-10057,student,Javohir,Qurbonov,Javohir Qurbonov,male,2011-08-19,15,+998993605434,@javohir_7889,124-son maktab,9,Mirobod,6,FE-RCT-006,FE-RCT,13,111,207,Jasur Qurbonov,Ota,+998777788874,@jasur557,telegram,2026-02-09,950000,active,72,69,1,2,1,1,97.2,95.8,2,0,False,65,62,60,2,3,95.4,92.3,90.6,100,1667,2772,1105,25,3,2,2,94.3,A'lo,low
58,STU-10058,student,Sarvar,Ismoilov,Sarvar Ismoilov,male,2010-11-01,16,+998905621215,@sarvar_9422,52-son maktab,10,Uchtepa,6,FE-RCT-006,FE-RCT,13,111,207,Malika Ismoilova,Ona,+998912478731,@malika323,telegram,2026-02-09,950000,active,72,66,4,2,1,1,97.2,91.7,2,0,False,66,65,61,4,1,98.5,92.4,90.6,100,2465,2770,305,3,1,1,2,95.3,A'lo,low
59,STU-10059,student,Shahzoda,Abdullayeva,Shahzoda Abdullayeva,female,2009-12-23,17,+998901536346,@shahzoda_286,7-son maktab,11,Chilonzor,6,FE-RCT-006,FE-RCT,13,111,207,Otabek Abdullayeva,Ota,+998339356677,@otabek571,telegram,2026-02-09,950000,active,72,41,14,17,9,8,76.4,56.9,3,14,True,60,42,17,25,18,70.0,28.3,54.4,84,303,963,670,275,12,4,3,66.8,Qoniqarli,medium
60,STU-10060,student,Charos,Ergasheva,Charos Ergasheva,female,2008-05-10,18,+998933431128,@charos_2012,101-son maktab,11,Yakkasaroy,6,FE-RCT-006,FE-RCT,13,111,207,Elyor Ergasheva,Ota,+998987166727,@elyor688,sms,2026-02-09,950000,active,72,58,5,9,5,4,87.5,80.6,6,3,False,62,52,36,16,10,83.9,58.1,65.6,93,461,1531,1070,237,11,6,6,78.8,Yaxshi,low
